X,Y,Z,formation
429.74,-84.67,109.23,fault2
411.82,-2.47,67.45,fault2
465.01,-261.86,191.51,fault2
406.36,-136.11,54.70,fault2
388.64,-210.55,13.39,fault2
436.55,-284.29,125.14,fault2
449.40,-141.62,155.10,fault2
437.03,-309.11,126.25,fault2
448.97,3.76,154.11,fault2
412.43,-56.97,68.88,fault2
406.43,-31.35,54.88,fault2
470.11,-9.07,203.41,fault2
444.17,-26.08,142.89,fault2
431.53,-189.78,113.42,fault2
404.59,-238.32,50.60,fault2
474.71,-308.52,214.13,fault2
