X,Y,Z,formation
-4.69,-250.49,373.53,ground1
15.63,-86.80,379.10,ground1
432.83,-236.24,381.23,ground1
-4.22,28.98,373.75,ground1
271.56,27.81,361.52,ground1
537.29,-2.81,386.55,ground1
529.11,-89.52,387.93,ground1
-54.94,-71.29,348.86,ground1
285.55,-93.99,361.42,ground1
446.91,-231.05,383.80,ground1
163.69,-121.78,315.92,ground1
236.05,-13.23,300.30,ground1
507.29,-201.13,389.57,ground1
541.07,44.90,385.52,ground1
41.72,-132.00,379.48,ground1
266.72,-45.39,361.53,ground1
40.84,9.14,379.86,ground1
-39.80,-70.93,357.11,ground1
235.84,-298.14,300.31,ground1
512.55,-301.67,389.64,ground1
403.24,61.34,375.25,ground1
287.31,42.62,361.47,ground1
271.55,-262.62,361.52,ground1
494.28,-300.72,389.57,ground1
531.43,-271.40,387.86,ground1
-31.46,-176.72,361.51,ground1
441.74,41.43,382.89,ground1
389.61,-271.51,372.41,ground1
531.66,-63.12,387.52,ground1
344.17,-104.07,364.66,ground1
117.61,-191.19,343.40,ground1
566.72,71.21,370.53,ground1
555.08,-203.56,379.03,ground1
10.59,58.65,378.26,ground1
235.82,-250.70,300.33,ground1
223.94,-139.22,301.06,ground1
8.65,-225.20,377.75,ground1
316.95,-294.90,362.26,ground1
303.26,-199.77,361.74,ground1
532.49,37.40,387.65,ground1
565.99,-10.43,370.56,ground1
412.39,-181.42,377.14,ground1
574.45,-252.81,358.89,ground1
361.68,18.08,367.16,ground1
133.42,-69.44,333.19,ground1
562.30,73.03,374.65,ground1
39.06,59.37,379.84,ground1
-28.97,68.98,362.88,ground1
23.92,-268.39,380.21,ground1
271.71,-24.29,361.52,ground1
556.91,16.15,378.28,ground1
317.06,42.73,362.29,ground1
235.87,69.48,300.32,ground1
-16.62,-116.35,368.60,ground1
318.67,-44.69,362.38,ground1
8.61,-189.77,377.86,ground1
568.43,-64.26,367.40,ground1
118.75,59.82,342.68,ground1
266.64,0.09,361.54,ground1
266.55,46.12,361.53,ground1
221.94,-121.92,301.23,ground1
271.55,-265.06,361.51,ground1
522.51,-158.05,388.68,ground1
574.45,-68.25,358.89,ground1
23.70,-250.69,380.19,ground1
566.94,-241.29,369.75,ground1
545.66,-64.04,383.58,ground1
159.36,-69.57,318.09,ground1
360.76,-134.91,366.93,ground1
198.69,-8.97,304.14,ground1
575.73,-247.20,355.50,ground1
235.09,-154.68,300.42,ground1
157.77,-34.90,318.87,ground1
266.72,-48.84,361.54,ground1
266.67,-100.51,361.52,ground1
51.84,-216.39,377.29,ground1
266.60,-172.64,361.52,ground1
-8.69,-131.37,372.01,ground1
15.93,-146.07,379.14,ground1
422.72,-209.58,379.23,ground1
347.43,-243.96,365.05,ground1
271.55,-261.49,361.52,ground1
167.83,-174.01,313.93,ground1
535.20,-38.54,386.81,ground1
154.02,-165.24,320.87,ground1
458.08,-241.33,385.63,ground1
79.25,-149.92,366.50,ground1
230.93,49.66,300.72,ground1
504.24,-285.09,389.70,ground1
489.54,-219.16,389.14,ground1
-6.86,-221.77,372.74,ground1
562.12,-273.70,374.58,ground1
536.85,-307.30,386.93,ground1
554.85,-0.53,379.43,ground1
106.00,-268.89,350.84,ground1
316.98,59.89,362.27,ground1
274.61,-220.82,361.45,ground1
-19.02,-276.13,367.59,ground1
200.53,-60.92,303.80,ground1
548.82,41.58,382.78,ground1
494.37,65.85,389.57,ground1
569.76,75.83,366.87,ground1
361.76,-253.12,367.17,ground1
36.54,-190.87,380.18,ground1
-33.40,-26.22,360.52,ground1
377.57,-6.51,370.01,ground1
198.16,-294.80,304.14,ground1
383.48,-59.03,371.21,ground1
475.95,-11.88,387.97,ground1
529.01,-144.04,387.94,ground1
184.53,-17.61,307.65,ground1
143.49,-243.16,326.94,ground1
560.02,-281.63,376.37,ground1
317.99,-225.93,362.34,ground1
497.55,-87.66,389.41,ground1
497.26,-146.07,389.40,ground1
7.57,-160.97,377.29,ground1
574.45,-282.65,358.89,ground1
93.32,-277.46,358.55,ground1
337.06,-119.97,363.84,ground1
433.08,1.42,381.28,ground1
556.48,45.69,378.54,ground1
84.87,-122.46,363.30,ground1
53.62,34.14,376.91,ground1
266.54,-129.40,361.55,ground1
236.81,-77.04,300.31,ground1
212.01,-200.01,302.21,ground1
-16.02,-176.57,368.89,ground1
453.04,49.92,384.87,ground1
528.12,-116.79,388.06,ground1
309.32,-114.95,361.96,ground1
529.51,-292.64,388.20,ground1
239.56,-130.69,300.18,ground1
543.50,23.56,384.74,ground1
317.89,-9.23,362.33,ground1
235.90,17.52,300.33,ground1
32.89,-87.42,380.22,ground1
302.43,-70.34,361.71,ground1
169.95,-294.80,312.88,ground1
183.81,-303.40,307.66,ground1
93.60,8.29,358.38,ground1
235.08,-146.56,300.39,ground1
156.71,68.41,319.32,ground1
392.29,-94.25,372.95,ground1
89.35,-139.89,360.84,ground1
544.36,-303.37,384.60,ground1
-9.02,-70.25,371.89,ground1
266.67,-106.38,361.52,ground1
53.16,-303.31,377.07,ground1
67.01,-294.66,372.08,ground1
15.22,-174.18,379.10,ground1
24.56,68.02,380.34,ground1
403.17,45.48,375.23,ground1
209.35,-147.98,302.52,ground1
574.45,-121.22,358.89,ground1
429.14,47.54,380.53,ground1
271.66,-212.21,361.51,ground1
92.64,-173.75,358.95,ground1
490.17,-15.18,389.19,ground1
198.49,8.25,304.18,ground1
512.81,-291.44,389.58,ground1
399.08,-170.01,374.37,ground1
469.72,-133.01,387.18,ground1
569.27,-19.98,366.68,ground1
32.05,-56.99,380.13,ground1
235.09,-157.03,300.43,ground1
455.84,-256.16,385.26,ground1
106.14,-303.38,350.78,ground1
575.73,-229.47,355.50,ground1
410.33,-36.19,376.70,ground1
288.10,-173.47,361.48,ground1
132.06,-34.86,334.02,ground1
523.67,-250.59,388.71,ground1
512.82,66.77,389.63,ground1
131.27,34.03,334.54,ground1
80.45,-303.35,365.73,ground1
184.11,16.84,307.78,ground1
67.23,59.80,371.98,ground1
188.27,-87.07,306.69,ground1
168.67,-191.36,313.59,ground1
500.66,-230.94,389.60,ground1
-37.87,19.37,358.09,ground1
514.86,-6.95,389.48,ground1
563.27,-156.45,372.79,ground1
38.21,-242.04,379.93,ground1
575.73,-209.96,355.50,ground1
235.69,-205.42,300.35,ground1
40.02,-7.30,379.91,ground1
482.86,-41.69,388.55,ground1
498.11,32.13,389.63,ground1
547.63,14.78,383.01,ground1
108.68,-86.41,349.13,ground1
428.98,-297.42,380.51,ground1
431.78,-159.28,381.01,ground1
551.48,-76.95,380.97,ground1
-62.47,-116.46,344.63,ground1
568.04,-143.59,367.66,ground1
266.63,5.81,361.53,ground1
347.33,8.88,365.03,ground1
80.28,-17.52,365.73,ground1
404.60,13.28,375.53,ground1
183.69,-251.80,307.93,ground1
534.08,25.37,387.34,ground1
9.77,-294.28,378.01,ground1
331.80,68.48,363.28,ground1
-53.73,54.17,349.53,ground1
105.91,-251.65,350.90,ground1
536.79,-230.44,386.61,ground1
-44.04,-281.74,354.88,ground1
266.54,54.93,361.53,ground1
333.48,-217.47,363.50,ground1
93.55,-8.91,358.41,ground1
496.36,-244.49,389.41,ground1
303.76,-164.86,361.77,ground1
497.71,-266.80,389.64,ground1
141.73,-173.88,328.04,ground1
550.40,-103.35,381.42,ground1
414.00,-115.62,377.46,ground1
287.94,-43.75,361.47,ground1
118.63,-294.77,342.76,ground1
183.26,-217.32,308.07,ground1
266.54,-287.87,361.54,ground1
236.80,-66.97,300.28,ground1
179.94,-147.97,309.27,ground1
52.72,-251.13,377.14,ground1
10.46,39.89,378.18,ground1
364.83,-34.31,367.70,ground1
456.05,21.32,385.29,ground1
134.46,-86.78,332.52,ground1
555.03,60.95,379.35,ground1
562.72,-130.18,373.12,ground1
470.03,-100.62,387.21,ground1
569.89,-0.93,366.16,ground1
-15.23,-4.02,369.18,ground1
449.58,-215.54,384.25,ground1
570.24,-250.02,365.87,ground1
230.89,-287.72,300.72,ground1
557.48,-266.52,377.91,ground1
560.55,-258.18,375.63,ground1
363.55,-218.83,367.47,ground1
274.45,-272.55,361.45,ground1
156.48,-251.79,319.57,ground1
520.49,-130.67,388.87,ground1
170.30,8.23,312.83,ground1
543.84,-143.52,384.19,ground1
514.14,-257.37,389.60,ground1
198.27,59.82,304.12,ground1
302.93,-17.94,361.73,ground1
131.01,-268.96,334.70,ground1
416.59,69.42,378.01,ground1
82.68,-68.02,364.62,ground1
57.83,-72.45,375.96,ground1
570.86,-280.36,365.34,ground1
148.02,-95.58,324.23,ground1
570.26,16.50,365.85,ground1
-62.16,-236.61,344.80,ground1
21.54,-215.96,379.72,ground1
565.99,-223.00,370.55,ground1
-3.51,67.78,374.18,ground1
388.56,-141.21,372.19,ground1
156.81,34.03,319.39,ground1
382.79,-176.44,371.07,ground1
-30.31,-238.69,362.09,ground1
545.56,-237.38,383.93,ground1
-33.61,-270.01,360.40,ground1
143.87,42.63,326.71,ground1
423.07,-129.88,379.28,ground1
172.32,-60.92,312.03,ground1
424.93,-102.24,379.67,ground1
37.64,-224.78,379.96,ground1
575.73,-85.12,355.50,ground1
203.61,-95.85,303.36,ground1
567.44,24.22,369.33,ground1
230.43,-183.61,300.76,ground1
7.58,-101.53,377.26,ground1
466.28,-265.46,386.78,ground1
563.30,-76.91,372.76,ground1
274.50,-248.24,361.45,ground1
568.85,-41.07,367.04,ground1
144.04,8.23,326.61,ground1
493.05,-204.40,389.30,ground1
-55.02,-11.36,348.81,ground1
-15.43,-238.08,369.25,ground1
575.73,-37.23,355.50,ground1
468.15,-38.38,386.98,ground1
-62.90,-266.31,344.40,ground1
317.08,-277.75,362.29,ground1
575.73,-164.93,355.50,ground1
560.35,-241.40,375.92,ground1
13.44,1.92,378.85,ground1
24.38,-303.25,380.32,ground1
482.22,-192.35,388.49,ground1
346.49,60.10,364.87,ground1
274.79,-38.12,361.45,ground1
118.57,-277.55,342.79,ground1
287.29,-277.61,361.47,ground1
106.69,-34.74,350.41,ground1
266.61,-177.63,361.53,ground1
66.10,-44.04,372.37,ground1
481.41,-85.83,388.46,ground1
507.78,-32.79,389.58,ground1
450.14,-18.97,384.34,ground1
291.43,-121.05,361.53,ground1
235.83,-268.08,300.33,ground1
494.68,54.70,389.51,ground1
539.62,-16.24,385.86,ground1
123.63,-112.64,339.51,ground1
572.04,72.10,363.83,ground1
183.90,68.41,307.63,ground1
232.69,-120.86,300.54,ground1
531.49,-170.47,387.54,ground1
507.08,-159.55,389.49,ground1
418.54,-145.76,378.37,ground1
452.65,63.61,384.84,ground1
58.51,-132.93,375.48,ground1
438.24,-30.09,382.21,ground1
266.72,-56.62,361.53,ground1
549.29,-267.27,382.47,ground1
431.02,-251.86,380.88,ground1
239.56,-130.22,300.18,ground1
196.16,-174.04,304.72,ground1
131.69,-17.61,334.27,ground1
334.45,-147.28,363.64,ground1
94.73,-95.01,357.63,ground1
41.41,-162.10,379.57,ground1
199.60,-43.53,304.00,ground1
-31.47,2.88,361.50,ground1
226.18,-192.47,300.90,ground1
404.04,-82.04,375.41,ground1
515.46,35.35,389.52,ground1
521.34,72.19,389.20,ground1
574.45,-3.71,358.89,ground1
155.65,-200.00,320.02,ground1
300.34,-87.97,361.66,ground1
64.84,-146.88,373.09,ground1
441.21,70.02,382.84,ground1
545.57,-169.39,383.62,ground1
456.04,-183.89,385.25,ground1
416.62,-273.66,378.00,ground1
575.73,-16.45,355.50,ground1
287.96,-191.09,361.48,ground1
271.45,-72.27,361.50,ground1
406.05,-3.05,375.83,ground1
42.23,-102.53,379.40,ground1
156.56,-269.00,319.52,ground1
128.75,-165.02,336.18,ground1
575.73,35.26,355.50,ground1
230.43,-181.63,300.76,ground1
-15.26,59.40,369.45,ground1
441.16,-304.99,382.83,ground1
287.69,-60.81,361.47,ground1
463.83,-305.55,386.56,ground1
501.62,-174.39,389.48,ground1
568.05,-89.79,367.65,ground1
452.61,-298.56,384.83,ground1
478.70,26.03,388.22,ground1
332.27,17.08,363.38,ground1
226.78,-276.09,300.86,ground1
-5.71,-266.99,373.16,ground1
346.57,43.11,364.93,ground1
429.00,62.43,380.52,ground1
266.53,-292.90,361.51,ground1
236.80,-86.76,300.28,ground1
319.43,-173.58,362.42,ground1
350.05,-44.49,365.42,ground1
496.94,10.03,389.41,ground1
530.64,-208.07,387.71,ground1
486.48,-176.96,388.83,ground1
183.78,-269.01,307.90,ground1
235.85,-309.56,300.33,ground1
212.74,-251.79,302.12,ground1
350.24,-191.36,365.43,ground1
131.13,-303.39,334.63,ground1
274.71,-14.33,361.45,ground1
512.01,-47.29,389.41,ground1
416.66,38.67,181.01,ground2
574.45,44.82,161.89,ground2
106.23,68.41,205.72,ground2
257.53,42.62,216.71,ground2
-30.31,-238.69,217.09,ground2
-62.47,-116.46,199.63,ground2
283.26,-100.37,216.44,ground2
553.10,-181.17,183.15,ground2
-54.72,19.69,203.98,ground2
556.91,16.15,181.28,ground2
452.60,-136.43,187.73,ground2
547.07,-248.67,186.19,ground2
348.04,-8.59,168.12,ground2
537.29,-2.81,189.55,ground2
283.01,-15.71,216.40,ground2
216.47,62.44,218.57,ground2
394.69,-30.31,176.46,ground2
67.01,-294.66,227.08,ground2
180.76,-215.18,163.96,ground2
545.95,3.89,186.84,ground2
288.16,-261.07,216.39,ground2
328.75,-45.07,165.92,ground2
185.51,49.90,161.65,ground2
41.66,-71.52,234.43,ground2
14.61,-56.92,233.99,ground2
375.46,60.54,172.59,ground2
555.03,60.95,182.35,ground2
567.14,55.00,172.58,ground2
333.45,-25.09,166.61,ground2
574.45,58.16,161.89,ground2
52.72,-251.13,232.14,ground2
185.49,-281.49,161.71,ground2
574.45,-295.57,161.89,ground2
-2.65,7.15,229.31,ground2
65.59,-189.70,227.59,ground2
548.82,41.58,185.78,ground2
334.62,-86.00,166.78,ground2
416.59,69.42,181.01,ground2
377.61,-228.60,173.01,ground2
209.65,-183.89,219.24,ground2
272.30,-303.40,216.46,ground2
398.20,-112.40,177.19,ground2
226.83,-191.32,217.88,ground2
154.02,-165.24,175.87,ground2
-30.98,-207.11,216.75,ground2
466.42,30.64,189.80,ground2
215.08,67.60,218.76,ground2
157.77,-34.90,173.87,ground2
543.88,-89.95,187.17,ground2
93.32,-277.46,213.55,ground2
345.93,-134.71,167.78,ground2
180.79,-203.30,164.04,ground2
180.91,-303.11,163.55,ground2
253.20,-120.59,216.82,ground2
185.45,-289.56,161.61,ground2
210.66,-56.06,219.21,ground2
92.73,-191.19,213.90,ground2
536.79,-230.44,189.61,ground2
181.07,-261.80,164.12,ground2
8.65,-225.20,232.75,ground2
181.00,-310.01,163.79,ground2
66.57,-242.61,227.23,ground2
333.48,-30.85,166.56,ground2
40.84,9.14,234.86,ground2
37.64,-224.78,234.96,ground2
418.54,-145.76,181.37,ground2
347.33,8.88,168.03,ground2
210.68,-49.05,219.24,ground2
503.73,-306.60,192.82,ground2
216.03,-84.69,218.78,ground2
562.76,-308.39,177.26,ground2
283.11,48.61,216.47,ground2
210.13,56.30,219.13,ground2
10.46,39.89,233.18,ground2
-3.51,67.78,229.18,ground2
517.35,-211.75,192.31,ground2
134.46,-86.78,187.52,ground2
472.01,-237.13,190.52,ground2
131.13,-303.39,189.63,ground2
288.15,-256.88,216.40,ground2
574.45,-195.94,161.89,ground2
517.85,-21.86,192.30,ground2
283.07,-128.12,216.50,ground2
242.75,16.85,217.11,ground2
105.59,-217.12,206.10,ground2
-38.95,-191.84,212.55,ground2
210.04,-232.39,219.24,ground2
564.08,-180.87,175.17,ground2
464.63,-279.28,189.59,ground2
496.94,10.03,192.41,ground2
416.54,-304.42,181.00,ground2
127.38,-147.50,192.06,ground2
550.90,-19.04,184.41,ground2
521.34,72.19,192.20,ground2
389.66,-303.93,175.42,ground2
564.96,-202.98,174.43,ground2
10.59,58.65,233.26,ground2
327.76,51.09,165.91,ground2
106.14,-303.38,205.78,ground2
56.80,-161.75,231.33,ground2
32.89,-87.42,235.22,ground2
-62.47,-86.46,199.63,ground2
566.97,7.70,172.72,ground2
410.33,-36.19,179.70,ground2
494.68,54.70,192.51,ground2
334.67,-93.79,166.71,ground2
570.35,32.28,168.77,ground2
464.71,-23.11,189.55,ground2
568.85,-41.07,170.04,ground2
186.08,-51.51,161.47,ground2
456.04,-183.89,188.25,ground2
-30.86,-303.37,216.93,ground2
574.45,-94.00,161.89,ground2
335.12,12.32,166.57,ground2
212.22,-120.21,218.86,ground2
-39.73,-131.43,212.15,ground2
364.83,-34.31,170.70,ground2
328.91,-174.38,165.94,ground2
562.73,-103.23,176.11,ground2
337.06,-119.97,166.84,ground2
440.75,-188.22,185.68,ground2
566.72,71.21,173.53,ground2
144.04,8.23,181.61,ground2
348.18,-226.64,168.14,ground2
460.69,-66.55,188.98,ground2
328.70,-54.15,165.99,ground2
412.39,-181.42,180.14,ground2
58.51,-132.93,230.48,ground2
156.56,-269.00,174.52,ground2
-4.69,-250.49,228.53,ground2
181.35,-22.53,163.88,ground2
214.95,-213.66,218.95,ground2
530.53,57.95,191.03,ground2
403.21,-296.34,178.24,ground2
423.14,-25.10,182.31,ground2
347.43,-243.96,168.05,ground2
272.46,34.01,216.48,ground2
181.36,-29.97,163.89,ground2
93.87,-43.19,213.21,ground2
511.61,-186.52,192.42,ground2
551.41,-156.45,184.00,ground2
67.86,-60.32,226.65,ground2
216.51,40.18,218.60,ground2
163.69,-121.78,170.92,ground2
560.61,23.88,178.63,ground2
363.55,-218.83,170.47,ground2
181.15,28.12,164.02,ground2
422.72,-209.58,182.23,ground2
15.93,-146.07,234.14,ground2
283.28,-47.05,216.46,ground2
571.33,-292.82,167.80,ground2
288.06,-74.02,216.40,ground2
257.28,-191.24,216.72,ground2
539.62,-16.24,188.86,ground2
535.02,-195.02,189.83,ground2
169.95,-294.80,167.88,ground2
377.57,-6.51,173.01,ground2
494.53,-289.44,192.50,ground2
332.68,-306.91,166.38,ground2
210.27,0.11,219.27,ground2
157.32,-17.62,174.12,ground2
143.87,42.63,181.71,ground2
172.32,-60.92,167.03,ground2
414.00,-115.62,180.46,ground2
568.13,-273.25,171.74,ground2
-32.19,-85.98,216.14,ground2
106.00,-268.89,205.84,ground2
42.23,-102.53,234.40,ground2
563.92,-294.48,176.25,ground2
560.35,-241.40,178.92,ground2
566.94,-241.29,172.75,ground2
429.00,62.43,183.52,ground2
570.60,-304.43,168.56,ground2
24.38,-303.25,235.32,ground2
79.69,-199.55,221.03,ground2
453.36,-97.07,187.86,ground2
328.08,3.41,165.90,ground2
108.68,-86.41,204.13,ground2
185.50,48.59,161.63,ground2
403.24,61.34,178.25,ground2
570.86,-280.36,168.34,ground2
481.96,-247.27,191.57,ground2
428.98,-297.42,183.51,ground2
361.23,35.07,170.08,ground2
404.60,13.28,178.53,ground2
-16.79,-22.94,223.39,ground2
210.05,-236.22,219.25,ground2
288.07,-80.13,216.38,ground2
169.76,-243.19,168.08,ground2
520.56,-102.96,191.86,ground2
336.71,-195.91,166.72,ground2
210.13,-283.84,219.24,ground2
283.19,-2.18,216.48,ground2
259.74,-93.59,216.63,ground2
529.72,67.70,191.21,ground2
216.74,-11.61,218.58,ground2
392.64,-221.73,176.03,ground2
417.47,22.92,181.18,ground2
564.11,-52.49,175.15,ground2
327.78,-282.86,165.88,ground2
489.54,-219.16,192.14,ground2
118.20,-225.82,198.03,ground2
288.27,-209.07,216.38,ground2
404.04,-82.04,178.41,ground2
568.75,-297.82,171.07,ground2
555.08,-203.56,182.03,ground2
332.75,-260.60,166.54,ground2
-13.96,-207.25,224.69,ground2
185.03,-182.49,162.10,ground2
-54.94,-71.29,203.86,ground2
257.78,-8.96,216.71,ground2
242.54,-268.99,217.11,ground2
452.61,-298.56,187.83,ground2
186.07,-53.15,161.46,ground2
118.38,-243.08,197.91,ground2
-6.86,-221.77,227.74,ground2
215.14,34.14,218.86,ground2
185.48,-286.69,161.70,ground2
512.82,66.77,192.63,ground2
432.83,-236.24,184.23,ground2
515.46,35.35,192.52,ground2
480.94,-147.89,191.42,ground2
351.24,-64.12,168.57,ground2
574.45,-68.25,161.89,ground2
567.51,-258.08,172.26,ground2
431.78,-159.28,184.01,ground2
567.36,39.63,172.39,ground2
156.48,-251.79,174.57,ground2
-54.57,-191.60,204.06,ground2
282.92,-194.50,216.42,ground2
120.31,-60.68,196.66,ground2
178.34,-171.06,164.44,ground2
130.57,-217.24,189.99,ground2
545.56,-237.38,186.93,ground2
474.76,52.24,190.92,ground2
185.52,50.96,161.67,ground2
186.08,-52.81,161.47,ground2
468.15,-38.38,189.98,ground2
180.93,68.66,163.56,ground2
283.19,0.95,216.48,ground2
288.26,-211.91,216.39,ground2
67.33,42.67,226.91,ground2
84.87,-122.46,218.30,ground2
7.57,-160.97,232.29,ground2
574.45,-44.67,161.89,ground2
535.20,-38.54,189.81,ground2
288.32,-26.84,216.38,ground2
156.90,16.83,174.34,ground2
186.11,-48.94,161.55,ground2
258.09,-43.31,216.70,ground2
170.12,42.63,167.91,ground2
7.41,-38.36,232.45,ground2
272.56,-199.90,216.48,ground2
93.55,-8.91,213.41,ground2
498.11,32.13,192.63,ground2
325.86,-106.86,165.72,ground2
13.44,1.92,233.85,ground2
382.79,-176.44,174.07,ground2
362.64,-103.55,170.31,ground2
361.20,68.62,49.02,ground3
443.48,-30.99,13.16,ground3
122.52,51.62,22.21,ground3
453.02,-284.86,14.87,ground3
440.72,-60.61,12.73,ground3
302.12,68.42,43.68,ground3
183.78,-269.01,51.90,ground3
257.53,42.62,43.71,ground3
490.17,-15.18,19.19,ground3
320.80,-124.01,44.49,ground3
106.23,68.41,32.72,ground3
111.95,-121.03,29.05,ground3
94.47,-60.32,39.84,ground3
547.63,14.78,13.01,ground3
332.00,-269.36,45.36,ground3
440.46,-178.18,12.69,ground3
303.76,-164.86,43.77,ground3
126.68,74.70,19.54,ground3
200.53,-60.92,47.80,ground3
-15.26,59.40,51.45,ground3
565.99,-10.43,0.56,ground3
51.84,-216.39,59.29,ground3
570.86,-280.36,-4.66,ground3
560.61,23.88,5.63,ground3
396.48,-23.11,55.83,ground3
447.13,-148.34,13.79,ground3
453.75,-97.56,14.93,ground3
213.11,16.86,46.09,ground3
56.80,-161.75,58.33,ground3
393.59,-202.71,55.22,ground3
-61.35,67.91,27.25,ground3
121.94,-116.96,22.60,ground3
92.96,-225.64,40.76,ground3
397.07,-121.34,55.95,ground3
526.05,-184.09,18.29,ground3
150.34,-125.81,66.75,ground3
122.46,-286.46,22.24,ground3
397.29,-107.13,56.00,ground3
287.94,-43.75,43.47,ground3
-62.33,-176.44,26.70,ground3
126.70,27.49,19.51,ground3
152.06,-229.57,65.81,ground3
126.84,-27.13,19.42,ground3
440.72,-63.89,12.72,ground3
32.89,-87.42,62.22,ground3
51.55,-34.74,59.43,ground3
497.71,-266.80,19.64,ground3
405.00,-129.47,57.61,ground3
373.60,-89.54,51.34,ground3
39.26,42.26,61.82,ground3
41.72,-132.00,61.48,ground3
93.40,-294.73,40.51,ground3
-31.46,-176.72,43.51,ground3
564.96,-202.98,1.43,ground3
7.41,-38.36,59.45,ground3
53.62,34.14,58.91,ground3
198.69,-8.97,48.14,ground3
184.02,34.04,51.82,ground3
399.95,-291.46,56.56,ground3
171.46,-43.56,56.38,ground3
520.49,-130.67,18.87,ground3
185.03,-34.90,51.54,ground3
40.84,9.14,61.86,ground3
553.10,-181.17,10.15,ground3
380.64,-194.00,52.62,ground3
128.97,-130.25,18.06,ground3
213.03,34.04,46.09,ground3
522.51,-158.05,18.68,ground3
80.69,34.12,47.56,ground3
443.50,-36.09,13.14,ground3
8.65,-225.20,59.75,ground3
497.26,-146.07,19.40,ground3
398.61,-145.65,56.28,ground3
309.32,-114.95,43.96,ground3
530.96,-25.32,17.68,ground3
569.01,-286.30,-2.15,ground3
152.25,8.47,65.64,ground3
272.64,-84.48,43.48,ground3
480.94,-147.89,18.42,ground3
567.36,39.63,-0.61,ground3
128.96,-133.19,18.03,ground3
226.21,-173.96,44.92,ground3
453.51,-135.37,14.89,ground3
447.37,-88.92,13.83,ground3
242.99,-17.53,44.10,ground3
193.64,-139.31,49.34,ground3
489.54,-219.16,19.14,ground3
198.27,59.82,48.12,ground3
402.35,-193.75,57.05,ground3
553.18,-283.60,10.67,ground3
119.05,-42.16,24.49,ground3
53.16,-303.31,59.07,ground3
126.60,-260.40,19.59,ground3
574.45,-195.94,-11.11,ground3
570.19,47.08,-4.09,ground3
288.55,-137.70,43.49,ground3
93.10,-242.91,40.67,ground3
360.76,-134.91,48.93,ground3
227.54,-243.18,44.83,ground3
368.13,-164.72,50.30,ground3
565.99,-223.00,0.55,ground3
-7.94,-36.75,54.30,ground3
446.00,-225.72,13.62,ground3
547.09,-276.43,13.45,ground3
272.46,34.01,43.48,ground3
