X,Y,Z,azimuth,dip,polarity,formation
-44.04,-281.74,354.88,90,28,1,ground1
266.54,54.93,361.53,258,1,1,ground1
93.55,-8.91,358.41,269,30,1,ground1
414.00,-115.62,377.46,90,12,1,ground1
287.94,-43.75,361.47,131,1,1,ground1
183.26,-217.32,308.07,279,18,1,ground1
52.72,-251.13,377.14,279,16,1,ground1
364.83,-34.31,367.70,88,10,1,ground1
470.03,-100.62,387.21,86,7,1,ground1
-15.23,-4.02,369.18,87,24,1,ground1
363.55,-218.83,367.47,87,10,1,ground1
520.49,-130.67,388.87,269,6,1,ground1
543.84,-143.52,384.19,268,23,1,ground1
198.27,59.82,304.12,259,10,1,ground1
131.01,-268.96,334.70,270,33,1,ground1
82.68,-68.02,364.62,271,29,1,ground1
57.83,-72.45,375.96,270,21,1,ground1
-62.16,-236.61,344.80,90,29,1,ground1
565.99,-223.00,370.55,269,49,1,ground1
-3.51,67.78,374.18,92,20,1,ground1
156.81,34.03,319.39,268,28,1,ground1
382.79,-176.44,371.07,91,11,1,ground1
423.07,-129.88,379.28,89,11,1,ground1
567.44,24.22,369.33,270,51,1,ground1
563.30,-76.91,372.76,271,47,1,ground1
568.85,-41.07,367.04,270,48,1,ground1
144.04,8.23,326.61,268,31,1,ground1
-55.02,-11.36,348.81,90,29,1,ground1
575.73,-37.23,355.50,270,69,1,ground1
-62.90,-266.31,344.40,90,29,1,ground1
24.38,-303.25,380.32,58,4,1,ground1
482.22,-192.35,388.49,97,5,1,ground1
346.49,60.10,364.87,97,7,1,ground1
66.10,-44.04,372.37,274,23,1,ground1
507.78,-32.79,389.58,305,2,1,ground1
450.14,-18.97,384.34,91,10,1,ground1
235.83,-268.08,300.33,276,2,1,ground1
494.68,54.70,389.51,91,3,1,ground1
539.62,-16.24,385.86,266,14,1,ground1
123.63,-112.64,339.51,270,33,1,ground1
183.90,68.41,307.63,277,17,1,ground1
531.49,-170.47,387.54,276,7,1,ground1
418.54,-145.76,378.37,91,11,1,ground1
549.29,-267.27,382.47,273,23,1,ground1
196.16,-174.04,304.72,264,11,1,ground1
334.45,-147.28,363.64,99,6,1,ground1
199.60,-43.53,304.00,263,10,1,ground1
-31.47,2.88,361.50,91,28,1,ground1
226.18,-192.47,300.90,282,4,1,ground1
404.04,-82.04,375.41,90,12,1,ground1
521.34,72.19,389.20,271,4,1,ground1
574.45,-3.71,358.89,270,69,1,ground1
155.65,-200.00,320.02,268,28,1,ground1
300.34,-87.97,361.66,79,1,1,ground1
64.84,-146.88,373.09,267,21,1,ground1
545.57,-169.39,383.62,268,24,1,ground1
456.04,-183.89,385.25,92,9,1,ground1
416.62,-273.66,378.00,91,12,1,ground1
575.73,-16.45,355.50,270,69,1,ground1
287.96,-191.09,361.48,50,1,1,ground1
271.45,-72.27,361.50,250,1,1,ground1
42.23,-102.53,379.40,274,5,1,ground1
128.75,-165.02,336.18,270,33,1,ground1
-15.26,59.40,369.45,87,24,1,ground1
441.16,-304.99,382.83,89,10,1,ground1
287.69,-60.81,361.47,51,1,1,ground1
463.83,-305.55,386.56,87,8,1,ground1
501.62,-174.39,389.48,184,1,1,ground1
332.27,17.08,363.38,81,5,1,ground1
226.78,-276.09,300.86,258,3,1,ground1
-5.71,-266.99,373.16,94,21,1,ground1
266.53,-292.90,361.51,282,1,1,ground1
236.80,-86.76,300.28,278,2,1,ground1
350.05,-44.49,365.42,94,8,1,ground1
530.64,-208.07,387.71,260,11,1,ground1
486.48,-176.96,388.83,85,5,1,ground1
350.24,-191.36,365.43,86,8,1,ground1
274.71,-14.33,361.45,249,1,1,ground1
416.66,38.67,181.01,89,12,1,ground2
574.45,44.82,161.89,270,69,1,ground2
106.23,68.41,205.72,269,32,1,ground2
-30.31,-238.69,217.09,90,28,1,ground2
-62.47,-116.46,199.63,90,29,1,ground2
283.26,-100.37,216.44,155,0,1,ground2
553.10,-181.17,183.15,273,25,1,ground2
556.91,16.15,181.28,269,35,1,ground2
452.60,-136.43,187.73,89,10,1,ground2
547.07,-248.67,186.19,268,20,1,ground2
348.04,-8.59,168.12,86,8,1,ground2
537.29,-2.81,189.55,276,15,1,ground2
283.01,-15.71,216.40,49,1,1,ground2
216.47,62.44,218.57,277,6,1,ground2
394.69,-30.31,176.46,90,12,1,ground2
67.01,-294.66,227.08,265,24,1,ground2
180.76,-215.18,163.96,279,18,1,ground2
545.95,3.89,186.84,264,21,1,ground2
288.16,-261.07,216.39,78,2,1,ground2
328.75,-45.07,165.92,99,3,1,ground2
185.51,49.90,161.65,277,10,1,ground2
41.66,-71.52,234.43,269,5,1,ground2
14.61,-56.92,233.99,88,13,1,ground2
375.46,60.54,172.59,92,11,1,ground2
555.03,60.95,182.35,271,34,1,ground2
567.14,55.00,172.58,270,50,1,ground2
333.45,-25.09,166.61,99,5,1,ground2
574.45,58.16,161.89,270,69,1,ground2
52.72,-251.13,232.14,279,16,1,ground2
574.45,-295.57,161.89,270,69,1,ground2
-2.65,7.15,229.31,92,21,1,ground2
65.59,-189.70,227.59,266,23,1,ground2
548.82,41.58,185.78,275,24,1,ground2
334.62,-86.00,166.78,84,6,1,ground2
416.59,69.42,181.01,90,12,1,ground2
377.61,-228.60,173.01,92,11,1,ground2
209.65,-183.89,219.24,277,11,1,ground2
272.30,-303.40,216.46,255,1,1,ground2
398.20,-112.40,177.19,90,12,1,ground2
226.83,-191.32,217.88,282,4,1,ground2
154.02,-165.24,175.87,272,29,1,ground2
-30.98,-207.11,216.75,90,28,1,ground2
466.42,30.64,189.80,93,8,1,ground2
215.08,67.60,218.76,277,6,1,ground2
157.77,-34.90,173.87,272,28,1,ground2
543.88,-89.95,187.17,272,23,1,ground2
93.32,-277.46,213.55,271,30,1,ground2
345.93,-134.71,167.78,90,7,1,ground2
180.79,-203.30,164.04,262,18,1,ground2
180.91,-303.11,163.55,263,17,1,ground2
253.20,-120.59,216.82,255,1,1,ground2
185.45,-289.56,161.61,263,17,1,ground2
210.66,-56.06,219.21,279,10,1,ground2
92.73,-191.19,213.90,268,30,1,ground2
536.79,-230.44,189.61,264,14,1,ground2
181.07,-261.80,164.12,280,17,1,ground2
8.65,-225.20,232.75,83,13,1,ground2
181.00,-310.01,163.79,263,17,1,ground2
66.57,-242.61,227.23,266,23,1,ground2
333.48,-30.85,166.56,81,5,1,ground2
40.84,9.14,234.86,287,9,1,ground2
37.64,-224.78,234.96,299,6,1,ground2
418.54,-145.76,181.37,91,11,1,ground2
347.33,8.88,168.03,94,8,1,ground2
210.68,-49.05,219.24,263,10,1,ground2
503.73,-306.60,192.82,29,1,1,ground2
562.76,-308.39,177.26,270,39,1,ground2
283.11,48.61,216.47,49,0,1,ground2
210.13,56.30,219.13,277,6,1,ground2
10.46,39.89,233.18,101,13,1,ground2
-3.51,67.78,229.18,92,20,1,ground2
517.35,-211.75,192.31,274,3,1,ground2
134.46,-86.78,187.52,270,33,1,ground2
472.01,-237.13,190.52,93,7,1,ground2
131.13,-303.39,189.63,270,33,1,ground2
288.15,-256.88,216.40,49,1,1,ground2
574.45,-195.94,161.89,270,69,1,ground2
517.85,-21.86,192.30,267,3,1,ground2
283.07,-128.12,216.50,54,1,1,ground2
242.75,16.85,217.11,276,2,1,ground2
105.59,-217.12,206.10,269,32,1,ground2
-38.95,-191.84,212.55,90,28,1,ground2
210.04,-232.39,219.24,264,10,1,ground2
564.08,-180.87,175.17,269,47,1,ground2
464.63,-279.28,189.59,95,8,1,ground2
496.94,10.03,192.41,75,1,1,ground2
416.54,-304.42,181.00,90,12,1,ground2
127.38,-147.50,192.06,270,33,1,ground2
550.90,-19.04,184.41,275,29,1,ground2
521.34,72.19,192.20,271,4,1,ground2
389.66,-303.93,175.42,90,12,1,ground2
564.96,-202.98,174.43,269,48,1,ground2
10.59,58.65,233.26,78,13,1,ground2
327.76,51.09,165.91,80,3,1,ground2
106.14,-303.38,205.78,271,32,1,ground2
56.80,-161.75,231.33,269,20,1,ground2
32.89,-87.42,235.22,265,5,1,ground2
-62.47,-86.46,199.63,90,29,1,ground2
566.97,7.70,172.72,271,50,1,ground2
410.33,-36.19,179.70,90,12,1,ground2
494.68,54.70,192.51,91,3,1,ground2
334.67,-93.79,166.71,84,6,1,ground2
570.35,32.28,168.77,270,51,1,ground2
464.71,-23.11,189.55,85,8,1,ground2
568.85,-41.07,170.04,270,48,1,ground2
186.08,-51.51,161.47,263,10,1,ground2
456.04,-183.89,188.25,92,9,1,ground2
-30.86,-303.37,216.93,90,28,1,ground2
574.45,-94.00,161.89,270,69,1,ground2
335.12,12.32,166.57,81,5,1,ground2
212.22,-120.21,218.86,281,9,1,ground2
-39.73,-131.43,212.15,90,28,1,ground2
364.83,-34.31,170.70,88,10,1,ground2
328.91,-174.38,165.94,99,3,1,ground2
562.73,-103.23,176.11,271,46,1,ground2
337.06,-119.97,166.84,85,6,1,ground2
440.75,-188.22,185.68,88,11,1,ground2
566.72,71.21,173.53,273,50,1,ground2
144.04,8.23,181.61,268,31,1,ground2
348.18,-226.64,168.14,94,8,1,ground2
460.69,-66.55,188.98,93,9,1,ground2
328.70,-54.15,165.99,80,3,1,ground2
412.39,-181.42,180.14,90,12,1,ground2
58.51,-132.93,230.48,271,22,1,ground2
156.56,-269.00,174.52,272,28,1,ground2
-4.69,-250.49,228.53,86,22,1,ground2
181.35,-22.53,163.88,260,17,1,ground2
214.95,-213.66,218.95,279,7,1,ground2
530.53,57.95,191.03,261,8,1,ground2
403.21,-296.34,178.24,90,12,1,ground2
423.14,-25.10,182.31,91,11,1,ground2
347.43,-243.96,168.05,86,8,1,ground2
272.46,34.01,216.48,249,1,1,ground2
181.36,-29.97,163.89,279,17,1,ground2
93.87,-43.19,213.21,272,30,1,ground2
511.61,-186.52,192.42,297,1,1,ground2
551.41,-156.45,184.00,271,23,1,ground2
67.86,-60.32,226.65,264,23,1,ground2
216.51,40.18,218.60,261,6,1,ground2
163.69,-121.78,170.92,266,26,1,ground2
560.61,23.88,178.63,270,35,1,ground2
363.55,-218.83,170.47,87,10,1,ground2
181.15,28.12,164.02,260,17,1,ground2
422.72,-209.58,182.23,89,11,1,ground2
15.93,-146.07,234.14,90,13,1,ground2
283.28,-47.05,216.46,131,1,1,ground2
571.33,-292.82,167.80,270,54,1,ground2
288.06,-74.02,216.40,51,1,1,ground2
257.28,-191.24,216.72,278,1,1,ground2
539.62,-16.24,188.86,266,14,1,ground2
535.02,-195.02,189.83,278,10,1,ground2
169.95,-294.80,167.88,274,24,1,ground2
377.57,-6.51,173.01,88,11,1,ground2
494.53,-289.44,192.50,89,3,1,ground2
332.68,-306.91,166.38,96,5,1,ground2
210.27,0.11,219.27,264,10,1,ground2
157.32,-17.62,174.12,268,28,1,ground2
143.87,42.63,181.71,272,31,1,ground2
172.32,-60.92,167.03,273,23,1,ground2
414.00,-115.62,180.46,90,12,1,ground2
568.13,-273.25,171.74,268,52,1,ground2
-32.19,-85.98,216.14,90,28,1,ground2
106.00,-268.89,205.84,269,32,1,ground2
42.23,-102.53,234.40,274,5,1,ground2
563.92,-294.48,176.25,268,42,1,ground2
560.35,-241.40,178.92,271,35,1,ground2
566.94,-241.29,172.75,269,50,1,ground2
429.00,62.43,183.52,89,11,1,ground2
570.60,-304.43,168.56,270,52,1,ground2
24.38,-303.25,235.32,58,4,1,ground2
79.69,-199.55,221.03,272,27,1,ground2
453.36,-97.07,187.86,91,10,1,ground2
328.08,3.41,165.90,100,3,1,ground2
108.68,-86.41,204.13,269,33,1,ground2
185.50,48.59,161.63,277,10,1,ground2
403.24,61.34,178.25,90,12,1,ground2
570.86,-280.36,168.34,270,53,1,ground2
481.96,-247.27,191.57,84,6,1,ground2
428.98,-297.42,183.51,91,11,1,ground2
361.23,35.07,170.08,94,9,1,ground2
404.60,13.28,178.53,90,12,1,ground2
-16.79,-22.94,223.39,91,23,1,ground2
210.05,-236.22,219.25,277,10,1,ground2
288.07,-80.13,216.38,79,1,1,ground2
169.76,-243.19,168.08,273,24,1,ground2
520.56,-102.96,191.86,271,6,1,ground2
336.71,-195.91,166.72,100,5,1,ground2
210.13,-283.84,219.24,264,10,1,ground2
283.19,-2.18,216.48,49,1,1,ground2
259.74,-93.59,216.63,268,1,1,ground2
529.72,67.70,191.21,285,8,1,ground2
216.74,-11.61,218.58,261,6,1,ground2
392.64,-221.73,176.03,90,12,1,ground2
417.47,22.92,181.18,91,12,1,ground2
564.11,-52.49,175.15,271,47,1,ground2
327.78,-282.86,165.88,100,3,1,ground2
489.54,-219.16,192.14,103,3,1,ground2
118.20,-225.82,198.03,270,33,1,ground2
288.27,-209.07,216.38,77,2,1,ground2
404.04,-82.04,178.41,90,12,1,ground2
568.75,-297.82,171.07,272,52,1,ground2
555.08,-203.56,182.03,272,28,1,ground2
332.75,-260.60,166.54,99,5,1,ground2
-13.96,-207.25,224.69,90,22,1,ground2
185.03,-182.49,162.10,264,11,1,ground2
-54.94,-71.29,203.86,90,29,1,ground2
257.78,-8.96,216.71,278,1,1,ground2
242.54,-268.99,217.11,276,2,1,ground2
452.61,-298.56,187.83,92,9,1,ground2
186.07,-53.15,161.46,279,10,1,ground2
118.38,-243.08,197.91,270,33,1,ground2
-6.86,-221.77,227.74,92,23,1,ground2
215.14,34.14,218.86,261,6,1,ground2
185.48,-286.69,161.70,281,10,1,ground2
512.82,66.77,192.63,293,3,1,ground2
432.83,-236.24,184.23,89,11,1,ground2
515.46,35.35,192.52,270,3,1,ground2
480.94,-147.89,191.42,85,6,1,ground2
351.24,-64.12,168.57,86,8,1,ground2
574.45,-68.25,161.89,270,69,1,ground2
567.51,-258.08,172.26,269,51,1,ground2
431.78,-159.28,184.01,89,11,1,ground2
567.36,39.63,172.39,269,51,1,ground2
156.48,-251.79,174.57,268,28,1,ground2
-54.57,-191.60,204.06,90,29,1,ground2
282.92,-194.50,216.42,50,1,1,ground2
120.31,-60.68,196.66,270,33,1,ground2
178.34,-171.06,164.44,278,18,1,ground2
130.57,-217.24,189.99,270,33,1,ground2
545.56,-237.38,186.93,276,21,1,ground2
474.76,52.24,190.92,90,7,1,ground2
185.52,50.96,161.67,277,10,1,ground2
186.08,-52.81,161.47,279,10,1,ground2
468.15,-38.38,189.98,92,8,1,ground2
180.93,68.66,163.56,277,17,1,ground2
283.19,0.95,216.48,130,1,1,ground2
288.26,-211.91,216.39,131,1,1,ground2
67.33,42.67,226.91,266,24,1,ground2
84.87,-122.46,218.30,271,30,1,ground2
7.57,-160.97,232.29,90,13,1,ground2
574.45,-44.67,161.89,270,69,1,ground2
535.20,-38.54,189.81,263,10,1,ground2
288.32,-26.84,216.38,78,2,1,ground2
156.90,16.83,174.34,272,28,1,ground2
186.11,-48.94,161.55,279,17,1,ground2
258.09,-43.31,216.70,262,1,1,ground2
170.12,42.63,167.91,273,24,1,ground2
7.41,-38.36,232.45,88,13,1,ground2
272.56,-199.90,216.48,249,1,1,ground2
93.55,-8.91,213.41,269,30,1,ground2
498.11,32.13,192.63,87,2,1,ground2
325.86,-106.86,165.72,84,6,1,ground2
13.44,1.92,233.85,79,9,1,ground2
382.79,-176.44,174.07,91,11,1,ground2
362.64,-103.55,170.31,89,10,1,ground2
443.48,-30.99,13.16,88,10,1,ground3
122.52,51.62,22.21,270,33,1,ground3
183.78,-269.01,51.90,280,17,1,ground3
257.53,42.62,43.71,278,1,1,ground3
490.17,-15.18,19.19,78,3,1,ground3
547.63,14.78,13.01,272,21,1,ground3
332.00,-269.36,45.36,82,5,1,ground3
440.46,-178.18,12.69,88,11,1,ground3
126.68,74.70,19.54,270,33,1,ground3
200.53,-60.92,47.80,279,10,1,ground3
570.86,-280.36,-4.66,270,53,1,ground3
396.48,-23.11,55.83,90,12,1,ground3
213.11,16.86,46.09,279,6,1,ground3
56.80,-161.75,58.33,269,20,1,ground3
-61.35,67.91,27.25,90,29,1,ground3
92.96,-225.64,40.76,272,30,1,ground3
526.05,-184.09,18.29,264,8,1,ground3
122.46,-286.46,22.24,270,33,1,ground3
126.70,27.49,19.51,270,33,1,ground3
152.06,-229.57,65.81,268,31,1,ground3
497.71,-266.80,19.64,91,2,1,ground3
564.96,-202.98,1.43,269,48,1,ground3
198.69,-8.97,48.14,277,10,1,ground3
171.46,-43.56,56.38,267,23,1,ground3
185.03,-34.90,51.54,279,17,1,ground3
553.10,-181.17,10.15,273,25,1,ground3
380.64,-194.00,52.62,88,11,1,ground3
213.03,34.04,46.09,261,6,1,ground3
497.26,-146.07,19.40,105,1,1,ground3
398.61,-145.65,56.28,90,12,1,ground3
530.96,-25.32,17.68,280,11,1,ground3
569.01,-286.30,-2.15,269,53,1,ground3
152.25,8.47,65.64,268,31,1,ground3
272.64,-84.48,43.48,294,1,1,ground3
480.94,-147.89,18.42,85,6,1,ground3
567.36,39.63,-0.61,269,51,1,ground3
193.64,-139.31,49.34,276,13,1,ground3
489.54,-219.16,19.14,103,3,1,ground3
553.18,-283.60,10.67,272,26,1,ground3
119.05,-42.16,24.49,270,33,1,ground3
53.16,-303.31,59.07,278,17,1,ground3
574.45,-195.94,-11.11,270,69,1,ground3
288.55,-137.70,43.49,54,1,1,ground3
547.09,-276.43,13.45,266,24,1,ground3
125.75,-168.47,20.12,270,33,1,ground3
153.88,-92.30,64.71,268,31,1,ground3
404.70,30.63,57.55,89,12,1,ground3
464.66,44.40,16.59,85,8,1,ground3
-38.85,-253.45,39.59,90,28,1,ground3
556.68,-250.23,8.41,271,35,1,ground3
377.57,-6.51,52.01,88,11,1,ground3
302.06,-303.42,43.67,99,1,1,ground3
300.34,-87.97,43.66,79,1,1,ground3
66.90,-277.32,54.08,274,23,1,ground3
364.83,-201.22,49.70,92,10,1,ground3
557.48,-266.52,7.91,268,36,1,ground3
402.35,-182.20,57.05,90,12,1,ground3
448.01,-234.11,14.01,92,10,1,ground3
388.56,-141.21,54.19,90,12,1,ground3
517.85,-21.86,19.30,267,3,1,ground3
7.58,-101.53,59.26,90,12,1,ground3
456.05,21.32,15.29,88,9,1,ground3
402.35,-179.67,57.06,90,12,1,ground3
156.56,-256.04,63.61,268,28,1,ground3
517.35,-211.75,19.31,274,3,1,ground3
106.39,-17.55,32.59,271,32,1,ground3
522.62,52.04,18.94,279,5,1,ground3
183.90,68.41,51.63,277,17,1,ground3
287.72,-9.13,43.47,49,1,1,ground3
486.48,-176.96,18.83,85,5,1,ground3
543.50,23.56,14.74,273,21,1,ground3
346.49,60.10,46.87,97,7,1,ground3
507.08,-159.55,19.49,40,1,1,ground3
21.11,-200.35,61.69,58,8,1,ground3
443.80,35.06,13.21,88,10,1,ground3
346.60,-278.14,46.93,94,7,1,ground3
512.82,66.77,19.63,293,3,1,ground3
156.66,21.40,63.56,272,28,1,ground3
302.44,-251.82,43.71,102,1,1,ground3
443.35,-310.21,13.22,89,10,1,ground3
537.29,-2.81,16.55,276,15,1,ground3
568.85,-41.07,-2.96,270,48,1,ground3
80.57,68.42,47.67,269,28,1,ground3
181.20,-165.36,52.75,278,18,1,ground3
334.45,-147.28,45.64,99,6,1,ground3
541.07,44.90,15.52,262,16,1,ground3
395.74,-173.74,55.67,90,12,1,ground3
481.41,-85.83,18.46,95,6,1,ground3
316.98,59.89,44.27,102,3,1,ground3
58.51,-132.93,57.48,271,22,1,ground3
452.61,-298.56,14.83,92,9,1,ground3
551.48,-76.95,10.97,269,23,1,ground3
500.66,-230.94,19.60,61,2,1,ground3
317.99,-225.93,44.34,99,3,1,ground3
400.59,-239.93,56.69,90,12,1,ground3
9.44,-276.87,59.90,78,14,1,ground3
478.70,26.03,18.22,86,5,1,ground3
562.73,-103.23,3.11,271,46,1,ground3
15.93,-146.07,61.14,90,13,1,ground3
361.14,-303.63,49.01,93,10,1,ground3
174.96,-95.74,55.06,266,21,1,ground3
536.79,-230.44,16.61,264,14,1,ground3
150.32,-131.35,66.72,271,32,1,ground3
272.79,-17.66,43.48,249,1,1,ground3
485.38,47.52,18.89,76,4,1,ground3
84.87,-122.46,45.30,271,30,1,ground3
398.40,-141.11,56.23,90,12,1,ground3
526.31,-49.58,18.26,276,8,1,ground3
476.27,-69.87,17.92,87,5,1,ground3
543.84,-143.52,14.19,268,23,1,ground3
152.28,4.09,65.70,268,31,1,ground3
404.68,-267.79,57.54,90,12,1,ground3
51.16,-198.10,59.54,281,16,1,ground3
443.25,-205.26,13.13,91,10,1,ground3
560.35,-241.40,5.92,271,35,1,ground3
446.23,-13.13,13.65,91,10,1,ground3
521.12,-306.91,19.21,268,4,1,ground3
-39.79,-101.26,39.12,90,28,1,ground3
10.46,39.89,60.18,101,13,1,ground3
447.14,-143.88,13.78,89,10,1,ground3
569.28,-213.38,-3.32,270,48,1,ground3
52.62,-16.54,59.02,280,16,1,ground3
126.42,-216.04,19.69,270,33,1,ground3
37.64,-224.78,61.96,299,6,1,ground3
446.21,-6.72,13.67,88,10,1,ground3
198.16,-294.80,48.14,281,10,1,ground3
126.10,-191.83,19.87,270,33,1,ground3
440.71,-70.05,12.74,91,11,1,ground3
574.45,-307.33,-11.11,270,69,1,ground3
402.35,-200.45,57.05,90,12,1,ground3
